,all_businesses,food,nightlife,shopping,fitness,selfcare,auto,home,health,geoid,population_total,population_total_male,population_total_female,population_total_under_18,population_total_18_to_65,population_total_65_and_over,population_male_under_18,population_female_under_18,population_male_18_to_64,population_female_18_to_64,population_male_65_and_over,population_female_65_and_over,population_total_white,population_total_non_white,median_income,area_mi2,population_density,food_predicted,food_error,auto_predicted,auto_error,nightlife_predicted,nightlife_error,shopping_predicted,shopping_error,fitness_predicted,fitness_error,selfcare_predicted,selfcare_error,home_predicted,home_error,health_predicted,health_error,geographic_area_name
2464,5,1,0,0,0,0,3,1,0,42003320400,2087,972,1115,363,1340,384,156,207,663,677,153,231,1945,221,27117,0.329361744,6336.497909000001,3.92,2.92,0.7879999999999999,-2.2119999999999997,-2.391,-2.391,0.601,0.601,0.628,0.628,0.456,0.456,1.604,0.604,-0.619,-0.619,"Census Tract 3204, Allegheny County, Pennsylvania"
2465,5,1,0,2,0,0,3,1,0,42003320600,2140,969,1171,379,1430,331,125,254,717,713,127,204,1967,216,39258,0.571296445,3745.866124,4.519,3.5189999999999997,0.11199999999999999,-2.888,-2.275,-2.275,0.27399999999999997,-1.726,0.977,0.977,1.089,1.089,2.244,1.244,-0.608,-0.608,"Census Tract 3206, Allegheny County, Pennsylvania"
2466,17,5,0,2,2,1,6,1,0,42003320700,1629,814,815,340,995,294,149,191,525,470,140,154,1527,141,32828,0.50726063,3211.366907,3.571,-1.429,1.643,-4.357,1.94,1.94,3.8510000000000004,1.851,2.204,0.204,1.43,0.43,5.303,4.303,0.778,0.778,"Census Tract 3207, Allegheny County, Pennsylvania"
2467,2,0,0,0,1,0,0,2,0,42003403500,4441,2175,2266,989,2829,623,420,569,1516,1313,239,384,3677,1059,24987,1.224818364,3625.843742,5.782,5.782,2.1180000000000003,2.1180000000000003,-2.803,-2.803,-1.881,-1.881,0.44,-0.56,-0.183,-0.183,0.313,-1.6869999999999998,0.294,0.294,"Census Tract 4035, Allegheny County, Pennsylvania"
2468,3,1,1,0,0,1,0,1,0,42003404000,1409,759,650,291,939,179,149,142,527,412,83,96,1364,73,27843,2.273084952,619.8624467,3.798,2.798,1.216,1.216,-0.636,-1.636,-0.677,-0.677,0.8190000000000001,0.8190000000000001,-0.414,-1.4140000000000001,-1.043,-2.043,-0.6970000000000001,-0.6970000000000001,"Census Tract 4040, Allegheny County, Pennsylvania"
2469,52,24,12,20,6,5,1,8,2,42003405000,1070,558,512,183,644,243,101,82,329,315,128,115,1056,18,31250,9.344142895,114.5102351,20.726999999999997,-3.273,8.321,7.321000000000001,17.142,5.142,10.844000000000001,-9.156,3.957,-2.043,5.93,0.93,3.89,-4.11,2.398,0.39799999999999996,"Census Tract 4050, Allegheny County, Pennsylvania"
2470,8,3,0,1,1,0,1,2,0,42003407001,5456,2733,2723,989,3198,1269,580,409,1691,1507,462,807,5330,213,33873,18.75599112,290.8937184,8.235,5.235,1.875,0.875,-3.9010000000000002,-3.9010000000000002,0.8959999999999999,-0.10400000000000001,1.51,0.51,0.325,0.325,-0.051,-2.051,0.435,0.435,"Census Tract 4070.01, Allegheny County, Pennsylvania"
2471,13,10,2,1,0,0,1,3,0,42003407002,6473,3168,3305,1177,3956,1340,659,518,1930,2026,579,761,6312,238,35547,10.11302789,640.0654748,10.595999999999998,0.596,1.4580000000000002,0.45799999999999996,-1.651,-3.6510000000000002,2.123,1.123,1.472,1.472,1.091,1.091,-0.609,-3.609,-0.485,-0.485,"Census Tract 4070.02, Allegheny County, Pennsylvania"
2472,28,14,6,7,2,4,3,3,1,42003408001,5467,2906,2561,1453,2882,1132,915,538,1485,1397,506,626,5228,291,39278,10.12551328,539.9232463999999,12.681,-1.319,2.997,-0.003,5.146,-0.8540000000000001,7.667999999999999,0.6679999999999999,2.803,0.8029999999999999,3.282,-0.718,1.624,-1.376,0.723,-0.27699999999999997,"Census Tract 4080.01, Allegheny County, Pennsylvania"
2473,43,20,5,8,3,7,3,7,5,42003408002,6010,2803,3207,1507,3713,790,669,838,1781,1932,353,437,5820,242,51634,4.504669713999999,1334.171067,15.136,-4.864,3.912,0.912,7.263,2.263,8.686,0.6859999999999999,4.069,1.069,6.322,-0.6779999999999999,4.128,-2.872,4.772,-0.228,"Census Tract 4080.02, Allegheny County, Pennsylvania"
2474,172,51,23,35,13,29,34,22,26,42003409000,12881,6571,6310,3664,7957,1260,2059,1605,3886,4071,626,634,12093,844,62176,16.96813349,759.1288697000001,48.993,-2.0069999999999997,17.313,-16.687,19.51,-3.49,41.826,6.8260000000000005,17.255,4.255,24.705,-4.295,32.333,10.333,18.077,-7.922999999999999,"Census Tract 4090, Allegheny County, Pennsylvania"
2475,1,0,1,0,0,1,0,0,0,42003410000,1201,621,580,247,681,273,141,106,356,325,124,149,1147,63,55114,0.8897766709999999,1349.776903,3.409,3.409,-1.455,-1.455,-1.1420000000000001,-2.142,-0.46,-0.46,0.9840000000000001,0.9840000000000001,1.177,0.177,0.237,0.237,-0.157,-0.157,"Census Tract 4100, Allegheny County, Pennsylvania"
2476,24,5,0,5,2,3,6,2,6,42003411000,8634,4295,4339,2535,4922,1177,1258,1277,2435,2487,602,575,7214,1548,56627,15.45550107,558.6360457000001,7.381,2.381,1.5419999999999998,-4.458,-2.303,-2.303,3.947,-1.053,3.3739999999999997,1.374,4.852,1.8519999999999999,5.6129999999999995,3.613,1.2429999999999999,-4.757,"Census Tract 4110, Allegheny County, Pennsylvania"
2477,40,15,4,4,4,9,7,5,8,42003412001,9210,4828,4382,2589,5204,1417,1492,1097,2658,2546,678,739,7152,2354,54878,8.676170717,1061.528213,13.118,-1.882,3.537,-3.463,4.008,0.008,10.032,6.032,4.374,0.374,7.069,-1.931,7.696000000000001,2.696,6.539,-1.4609999999999999,"Census Tract 4120.01, Allegheny County, Pennsylvania"
